Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,ID
10,1,Immunosuppression (immune deficiency and cancer),1,33,88,43,84,38.726745,0.742451,0.54006,1.02069,0.0,1.458471,2.0,0.482278,0.0,1.833854,0.066676,subgroup:430777885023217187
10,1,No immunosuppression (immune deficiency and cancer),2,374,1098,333,940,61.273255,0.522031,0.197164,1.382178,0.567302,9.57523,2.0,0.008332,79.112772,1.30846,0.190717,subgroup:430777892385531429
10,2,Immunosuppression (immune deficiency and cancer),1,6,7,6,7,38.570365,1.0,0.652008,1.533725,0.0,0.0,0.0,1.0,0.0,0.0,1.0,subgroup:432292894077619807
10,2,No immunosuppression (immune deficiency and cancer),2,25,36,22,36,61.429635,1.136364,0.809717,1.594782,0.0,0.0,0.0,1.0,0.0,0.739292,0.45973,subgroup:432292916882050681
11,1,No immunosuppression (immune deficiency and cancer),1,1,206,1,210,100.0,1.019417,0.06419,16.189573,0.0,0.0,0.0,1.0,0.0,0.013631,0.989124,subgroup:432859378337219979
11,2,No immunosuppression (immune deficiency and cancer),1,11,205,21,209,100.0,0.53403,0.264243,1.079266,0.0,0.0,0.0,1.0,0.0,1.747468,0.080556,subgroup:432862975268013315
11,3,No immunosuppression (immune deficiency and cancer),1,151,206,138,210,100.0,1.11545,0.981615,1.267531,0.0,0.0,0.0,1.0,0.0,1.675417,0.093852,subgroup:432863284386645851
12,1,Diabetes,1,4,26,8,27,41.575726,0.473249,0.036749,6.09436,2.26474,2.755276,1.0,0.096934,63.705999,0.573789,0.566111,subgroup:430776124560046615
12,1,No diabetes,2,4,57,13,55,58.424274,0.304731,0.104089,0.892132,0.0,0.106222,1.0,0.744488,0.0,2.168226,0.030141,subgroup:430776128051804698
12,2,Diabetes,1,74,214,28,104,33.76996,1.284379,0.890401,1.852682,0.0,0.0,0.0,1.0,0.0,1.338936,0.180591,subgroup:430577181415759683
12,2,No diabetes,2,125,400,58,203,66.23004,1.09375,0.841986,1.420794,0.0,0.0,0.0,1.0,0.0,0.671384,0.501976,subgroup:430577191425466183
12,3,Diabetes,1,8,13,5,8,16.91216,0.984615,0.495046,1.958339,0.0,0.0,0.0,1.0,0.0,0.044194,0.96475,subgroup:432292427949147495
12,3,No diabetes,2,23,30,23,35,83.08784,1.166667,0.855501,1.59101,0.0,0.0,0.0,1.0,0.0,0.973927,0.330093,subgroup:432292442482148733
13,1,Diabetes,1,1,8,0,21,50.739207,7.333333,0.328638,163.638475,0.0,0.0,0.0,1.0,0.0,1.257585,0.208542,subgroup:432860264631147019
13,1,No diabetes,2,0,197,1,188,49.260793,0.318182,0.013043,7.762181,0.0,0.0,0.0,1.0,0.0,0.702611,0.482298,subgroup:432860264634817038
13,2,Diabetes,1,4,57,11,71,15.615071,0.642644,0.086528,4.772899,1.205235,2.085648,1.0,0.148689,52.053268,0.432207,0.665591,subgroup:432863015070909753
13,2,No diabetes,2,24,739,47,726,84.384929,0.498199,0.308445,0.804691,0.0,0.023635,1.0,0.877818,0.0,2.848246,0.004396,subgroup:432863015073006907
13,3,Diabetes,1,4,8,14,21,8.054169,0.75,0.35213,1.597421,0.0,0.0,0.0,1.0,0.0,0.745757,0.455814,subgroup:432863325838952318
13,3,No diabetes,2,146,197,123,188,91.945831,1.132764,0.991991,1.293513,0.0,0.0,0.0,0.0,100.0,1.841203,0.065592,subgroup:432863325841049472
14,1,Pulmonary disease,1,0,21,3,11,32.902504,0.077922,0.004381,1.38604,0.0,0.0,0.0,1.0,0.0,1.737684,0.082266,subgroup:432159634589287670
14,1,No pulmonary disease,2,6,31,8,32,67.097496,0.774194,0.303574,1.974395,0.0,0.0,0.0,1.0,0.0,0.535807,0.592092,subgroup:432159645841818894
14,2,Respiratory disease,1,50,145,22,79,25.629872,1.238245,0.81366,1.884386,0.0,0.0,0.0,1.0,0.0,0.997444,0.318549,subgroup:430577351411952354
14,2,No respiratory disease,2,149,469,64,228,74.370128,1.131796,0.884529,1.448186,0.0,0.0,0.0,1.0,0.0,0.98438,0.324929,subgroup:430577363971795700
14,3,Pulmonary disease,1,10,12,7,11,31.621017,1.309524,0.783693,2.188168,0.0,0.0,0.0,1.0,0.0,1.02947,0.303259,subgroup:432292817906961939
14,3,No pulmonary disease,2,21,31,21,32,68.378983,1.032258,0.728055,1.463566,0.0,0.0,0.0,1.0,0.0,0.178234,0.858539,subgroup:432292826755108373
